,Date,Open,High,Low,Close,Adj Close,Volume
71,2001-01-12,4.4323440000000005,4.458648999999999,4.096959,4.215331,4.215331,51584800
72,2001-01-16,4.202178,4.682239,4.195602,4.609901,4.609901,48161500
73,2001-01-17,4.8400669999999995,5.011048000000001,4.49153,4.550715,4.550715,85639500
74,2001-01-18,4.695391000000001,4.984743,4.484954,4.932134,4.932134,90686200
75,2001-01-19,5.734426999999999,5.767309,5.057081,5.274095,5.274095,157235100
76,2001-01-22,5.3332809999999995,5.589752,5.142571,5.201757,5.201757,60498600
77,2001-01-23,5.182029,5.550294,5.129419,5.510838,5.510838,61181000
78,2001-01-24,5.497685,5.800189,5.491109,5.721275,5.721275,62977300
79,2001-01-25,5.773885,5.800189,5.221486,5.241214,5.241214,46845200
80,2001-01-26,5.070233999999999,5.372738,5.004472,5.24779,5.24779,46176100
81,2001-01-29,5.346433,5.556871,5.260943,5.504261,5.504261,42812600
82,2001-01-30,5.576599,5.602904,5.399043,5.596328,5.596328,33959600
83,2001-01-31,5.563447,5.6292089999999995,5.168876,5.195181,5.195181,38265000
84,2001-02-01,5.188605,5.260943,4.984743,5.07681,5.07681,36812700
85,2001-02-02,5.149148,5.155724,4.780882,4.864719999999999,4.864719999999999,37321200
86,2001-02-05,4.80061,4.997896,4.511259,4.912405000000001,4.912405000000001,40064100
87,2001-02-06,4.80061,4.945286,4.695391000000001,4.932134,4.932134,33511100
88,2001-02-07,4.8400669999999995,4.881166,4.682239,4.859796,4.859796,28875000
89,2001-02-08,4.9255580000000005,5.142571,4.853219999999999,4.958438,4.958438,29277000
90,2001-02-09,4.892677,4.958438,4.49153,4.688815,4.688815,30952600
91,2001-02-12,4.688815,5.096538,4.682239,4.965015,4.965015,28379800
92,2001-02-13,5.101462000000001,5.3267050000000005,4.984743,4.99132,4.99132,46216000
93,2001-02-14,5.038994000000001,5.366162,5.017624,5.280671,5.280671,51551500
94,2001-02-15,5.344780999999999,5.583176,5.287248,5.313552,5.313552,40134400
95,2001-02-16,4.971591,5.280671,4.971591,5.129419,5.129419,34958500
96,2001-02-20,5.155724,5.175452,4.655933999999999,4.688815,4.688815,37551200
97,2001-02-21,4.539205,4.905829,4.537563,4.807187,4.807187,42399200
98,2001-02-22,4.854861,4.945286,4.392887,4.688815,4.688815,52780400
99,2001-02-23,4.57702,4.695391000000001,4.241635,4.675663,4.675663,55906300
100,2001-02-26,4.695391000000001,4.794034,4.379735,4.774305,4.774305,38513000
101,2001-02-27,4.813763,4.866372,4.399463,4.4323440000000005,4.4323440000000005,39274300
102,2001-02-28,4.425768,4.649358,3.8799449999999998,4.032839,4.032839,56361500
103,2001-03-01,3.9588589999999995,4.180798,3.5774410000000003,3.945707,3.945707,77756000
104,2001-03-02,3.8404879999999997,4.235059,3.695812,3.965436,3.965436,52684400
105,2001-03-05,4.116688,4.169297,3.9325550000000002,3.9983169999999997,3.9983169999999997,26198700
106,2001-03-06,4.195602,4.511259,4.195602,4.241635,4.241635,46198900
107,2001-03-07,4.386311,4.71512,4.103535,4.471801,4.471801,100591200
108,2001-03-08,4.386311,4.419192,4.0509260000000005,4.116688,4.116688,49234500
109,2001-03-09,3.8141830000000003,3.8141830000000003,3.537984,3.5774410000000003,3.5774410000000003,68163600
110,2001-03-12,3.526473,3.5774410000000003,3.281513,3.3209699999999995,3.3209699999999995,73973400
111,2001-03-13,3.511679,3.63005,3.307818,3.623474,3.623474,52128400
